CustomerID,Recency,Frequency,Monetary,Frequency_log,Monetary_log,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment
12347.0,2,7,3314.73,2.0794415416798357,8.106433089538431,4,4,4,12,444,Champions
12348.0,249,3,90.19999999999999,1.3862943611198906,4.513054897080286,1,3,1,5,131,At Risk
12349.0,19,1,999.15,0.6931471805599453,6.907905267733262,3,1,3,7,313,Loyal Customers
12350.0,310,1,294.40000000000003,0.6931471805599453,5.68833037009728,1,1,2,4,112,Lost Customers
12352.0,36,7,1130.94,2.0794415416798357,7.031688253824822,3,4,3,10,343,Champions
12353.0,204,1,29.300000000000004,0.6931471805599453,3.411147712515324,1,1,1,3,111,Lost Customers
12354.0,232,1,682.69,0.6931471805599453,6.527504598514699,1,1,3,5,113,At Risk
12355.0,214,1,219.0,0.6931471805599453,5.393627546352362,1,1,2,4,112,Lost Customers
12356.0,246,2,1086.56,1.0986122886681098,6.991691933854691,1,2,3,6,123,At Risk
12357.0,33,1,3315.41,0.6931471805599453,8.106638151555332,3,1,4,8,314,Loyal Customers
12358.0,2,2,878.22,1.0986122886681098,6.779035150783365,4,2,3,9,423,Loyal Customers
12359.0,58,4,3224.13,1.6094379124341003,8.078728538494962,2,3,4,9,234,Loyal Customers
12360.0,52,3,1843.16,1.3862943611198906,7.519779168248301,2,3,4,9,234,Loyal Customers
12361.0,287,1,174.9,0.6931471805599453,5.169915651743512,1,1,1,3,111,Lost Customers
12362.0,3,10,4098.9400000000005,2.3978952727983707,8.318727618438977,4,4,4,12,444,Champions
12363.0,110,2,484.5,1.0986122886681098,6.18517928773138,2,2,3,7,223,Loyal Customers
12364.0,8,3,1106.28,1.3862943611198906,7.009661836588447,4,3,3,10,433,Champions
12365.0,291,1,307.94,0.6931471805599453,5.733147083286105,1,1,2,4,112,Lost Customers
12367.0,4,1,138.3,0.6931471805599453,4.93662988078576,4,1,1,6,411,At Risk
12370.0,51,4,2602.41,1.6094379124341003,7.8645774031558116,3,3,4,10,334,Champions
12371.0,60,1,1300.46,0.6931471805599453,7.171241990193599,2,1,4,7,214,Loyal Customers
12372.0,72,3,938.34,1.3862943611198906,6.84517750099741,2,3,3,8,233,Loyal Customers
12373.0,311,1,299.1,0.6931471805599453,5.704115752446321,1,1,2,4,112,Lost Customers
12374.0,25,1,531.73,0.6931471805599453,6.278014729213508,3,1,3,7,313,Loyal Customers
12375.0,11,2,283.3,1.0986122886681098,5.650030018656954,4,2,2,8,422,Loyal Customers
12377.0,315,2,1472.52,1.0986122886681098,7.2954093752108475,1,2,4,7,124,Loyal Customers
12378.0,130,1,3396.64,0.6931471805599453,8.130836351946007,2,1,4,7,214,Loyal Customers
12379.0,82,2,736.44,1.0986122886681098,6.603184728972198,2,2,3,7,223,Loyal Customers
12380.0,22,4,1738.25,1.6094379124341003,7.461209264803751,3,3,4,10,334,Champions
12381.0,5,5,1253.46,1.791759469228055,7.1344604800849005,4,4,4,12,444,Champions
12383.0,185,5,1211.84,1.791759469228055,7.100719995874571,1,4,4,9,144,Loyal Customers
12384.0,29,2,286.32,1.0986122886681098,5.660596577206601,3,2,2,7,322,Loyal Customers
12386.0,367,1,215.70000000000002,0.6931471805599453,5.378513908542313,1,1,2,4,112,Lost Customers
12388.0,16,6,2466.7000000000003,1.9459101490553132,7.811041821721038,4,4,4,12,444,Champions
