CustomerID,Recency,Frequency,Monetary,RFM_Score,RFM_Segment,Segment,PC1,PC2,PC3,LD1,LD2
12347.0,2,7,3314.73,12,444,Champions,2.1060798451270513,0.16338538830703123,-0.2871108325278919,3.411478661550915,0.1118425653047695
12348.0,249,3,90.2,5,131,At Risk,-1.526626666025385,0.899529998350145,1.0482093946070021,-2.690870059088502,-2.388169265198847
12349.0,19,1,999.15,7,313,Loyal Customers,0.1378994243661028,-0.729714224281964,-1.1118402681079824,0.3842545215832986,2.340530633514555
12350.0,310,1,294.40000000000003,4,112,Lost Customers,-1.8985368610917779,1.4388329273221132,-0.34177433910715305,-3.405792180737157,-1.100065025259006
12352.0,36,7,1130.94,10,343,Champions,1.4102949783030425,0.13883230329033588,0.3247324880059956,2.2757592586298805,-0.661490906500457
12353.0,204,1,29.300000000000004,3,111,Lost Customers,-2.4932989296995163,-0.16239630945455846,0.9011621167547625,-4.047925869079029,-0.9308029221438926
12354.0,232,1,682.69,5,113,At Risk,-1.1010962144931515,1.01029315588609,-0.8349544745228468,-2.009152789175188,0.026209780101417467
12355.0,214,1,219.0,4,112,Lost Customers,-1.569054051796811,0.5156352972294816,-0.20561881704027207,-2.673540189624477,-0.2426706295304023
12356.0,246,2,1086.56,6,123,At Risk,-0.5633471436319677,1.4704723381070794,-0.6516567884875091,-1.2272836947830101,-0.7730169632142815
12357.0,33,1,3315.41,8,314,Loyal Customers,0.6574685873812969,-0.2505274108159056,-1.7786826497921246,1.1364831059909155,2.675860686081682
12358.0,2,2,878.22,9,423,Loyal Customers,0.5375169871276665,-0.7160828168521457,-0.6058575627572976,1.0325209562438695,1.6198473992372457
12359.0,58,4,3224.13,9,234,Loyal Customers,1.3765982836064103,0.4106027904679563,-0.7636041489562387,2.168758743864361,0.5081704139291332
12360.0,52,3,1843.16,9,234,Loyal Customers,0.9231820706612142,0.08170574637079024,-0.6940769037685657,1.496004271231843,0.8098193355133358
12361.0,287,1,174.9,3,111,Lost Customers,-2.0395277547452992,1.0841493809967426,-0.05847249075020969,-3.5631907777888085,-1.0730212536880104
12362.0,3,10,4098.9400000000005,12,444,Champions,2.503017894382173,0.39243726178927246,-0.06090318658057907,4.011428989052676,-0.47503426081743183
12363.0,110,2,484.5,7,223,Loyal Customers,-0.28763524708601274,0.04663527713351439,-0.2409999447237186,-0.4790636244071463,0.2866697509571917
12364.0,8,3,1106.28,10,433,Champions,0.8900014766613209,-0.4532349865015669,-0.4217237685158214,1.552867373622199,1.0534017334208945
12365.0,291,1,307.94,4,112,Lost Customers,-1.7826706069012013,1.286865816998215,-0.37256602834541797,-3.1842060270368564,-0.8892877820483954
